layer,analysis,dependent_variable,core_variable,sample_group,observations,firms,coefficient,coefficient_scaled_millions,standard_error,t_statistic,p_value,significance,covariance,covariance_label,ci_lower,ci_upper,within_r_squared
reproduced_sensitivity,Baseline,AEM_w,CEO_age_w,Full sample,12529,2944,4727401.704767835,4.727401704767836,1811139.647769461,2.6101806730308983,0.009063542714811579,***,robust,heteroskedastic robust,1177184.1178956446,8277619.2916400265,0.047993166308007984
reproduced_sensitivity,Baseline,REM,CEO_age_w,Full sample,12529,2944,-0.0020135102360512957,,0.001074907645241604,-1.873193706421843,0.06107210455677259,*,robust,heteroskedastic robust,-0.004120557051077386,9.353657897479386e-05,0.00022702339909974611
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Young CEO,5749,1820,7112523.683835314,7.112523683835314,4075673.991444514,1.7451159486174872,0.0810432052440273,*,robust,heteroskedastic robust,-878122.8285601093,15103170.196230736,0.03335581689719069
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Senior CEO,6780,1924,13187270.380944721,13.187270380944721,7086835.923539637,1.8608121484994282,0.06283131805181696,*,robust,heteroskedastic robust,-706147.8981807977,27080688.66007024,0.020274177715243757
reproduced_sensitivity,Median split,REM,CEO_age_w,Young CEO,5749,1820,-0.0020902657097639434,,0.001938134561586598,-1.078493594403893,0.280880032724909,,robust,heteroskedastic robust,-0.0058901153070586585,0.0017095838875307717,0.004669239297651617
reproduced_sensitivity,Median split,REM,CEO_age_w,Senior CEO,6780,1924,-0.000793208988987227,,0.0032867158555793872,-0.24133786546856784,0.8093034909464101,,robust,heteroskedastic robust,-0.007236665369079464,0.005650247391105009,0.0024429319944487826
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,Non-SOE,11093,2460,4889577.17444976,4.88957717444976,1968529.0976350885,2.4838734567469185,0.013015060742792794,**,robust,heteroskedastic robust,1030788.9642103878,8748365.384689132,0.05187098569738613
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,SOE,1436,484,5311495.696258628,5.3114956962586275,5354002.06652161,0.9920608229629246,0.32142451734813227,,robust,heteroskedastic robust,-5195756.9421852,15818748.334702455,0.025128078013198274
reproduced_sensitivity,Ownership,REM,CEO_age_w,Non-SOE,11093,2460,-0.002298213674176366,,0.0012346688826990362,-1.8614008228282046,0.06272162374563583,*,robust,heteroskedastic robust,-0.004718460209435676,0.00012203286108294388,-7.868394812193813e-05
reproduced_sensitivity,Ownership,REM,CEO_age_w,SOE,1436,484,-0.0010465614375762184,,0.001258379350398249,-0.8316740395056587,0.40580530314863217,,robust,heteroskedastic robust,-0.0035161364555450435,0.0014230135803926067,0.01313083321473707
